Time (ms),T1(C),T2(C),P1(psi),P2(psi),P3(psi),P4(psi)

001579928,21.48,21.48,-45.67,0.11,-44.45,0.12
001579939,21.48,20.51,-43.84,0.12,-43.24,0.12
001579950,22.46,20.51,-47.50,0.08,-49.93,0.06
001579961,22.46,21.48,-45.06,0.11,-44.45,0.12
001579972,21.48,21.48,-43.84,0.12,-42.63,0.12
001579983,21.48,21.48,-47.50,0.07,-50.54,0.06
001579994,21.48,21.48,-45.06,0.11,-43.84,0.13
001580005,21.48,21.48,-43.84,0.12,-44.45,0.11
001580016,21.48,21.48,-47.50,0.08,-49.93,0.06
001580027,21.48,21.48,-46.28,0.11,-44.45,0.12
001580038,22.46,21.48,-45.06,0.10,-46.89,0.09
001580049,21.48,22.46,-47.50,0.07,-50.54,0.06
001580060,21.48,20.51,-45.06,0.11,-43.24,0.13
001580071,21.48,21.48,-44.45,0.11,-45.06,0.10
001580082,21.48,21.48,-47.50,0.08,-49.93,0.07
001580093,21.48,21.48,-44.45,0.12,-43.24,0.13
001580104,21.48,21.48,-44.45,0.11,-45.06,0.10
001580115,21.48,21.48,-47.50,0.07,-50.54,0.06
001580126,21.48,21.48,-44.45,0.12,-42.02,0.13
001580137,21.48,21.48,-45.67,0.10,-46.89,0.08
001580148,21.48,21.48,-47.50,0.08,-49.93,0.06
001580160,22.46,20.51,-44.45,0.12,-42.63,0.13
001580171,21.48,21.48,-45.06,0.10,-46.28,0.09
001580182,21.48,21.48,-47.50,0.07,-51.15,0.06
001580193,21.48,21.48,-44.45,0.12,-42.63,0.13
001580204,21.48,21.48,-45.67,0.10,-47.50,0.08
001580215,21.48,21.48,-47.50,0.07,-49.93,0.07
001580226,21.48,21.48,-43.84,0.12,-42.02,0.14
001580237,21.48,21.48,-45.06,0.11,-45.67,0.10
001580248,21.48,21.48,-47.50,0.08,-48.11,0.09
001580259,21.48,21.48,-43.84,0.12,-42.02,0.14
001580270,21.48,21.48,-45.67,0.10,-47.50,0.08
001580281,21.48,21.48,-47.50,0.08,-49.33,0.07
001580292,21.48,21.48,-43.84,0.13,-42.02,0.13
001580303,21.48,21.48,-45.67,0.09,-48.11,0.08
001580314,21.48,21.48,-47.50,0.08,-49.33,0.08
001580325,21.48,21.48,-43.84,0.13,-41.41,0.14
001580336,21.48,21.48,-46.28,0.09,-48.72,0.07
