Time (ms),P1(psi),P2(psi),P3(psi),P4(psi),T1,T2

178.356,-45.06,0.11,-45.06,0.10,0,0
178.367,-47.50,0.08,-48.11,0.08,0,0
178.378,-49.33,0.07,-49.93,0.07,0,0
178.390,-45.67,0.10,-46.28,0.10,0,0
178.401,-48.72,0.08,-48.11,0.08,0,0
178.412,-50.54,0.06,-50.54,0.06,0,0
178.423,-46.28,0.10,-46.28,0.09,0,0
178.434,-48.11,0.08,-48.11,0.08,0,0
178.445,-49.33,0.07,-49.93,0.07,0,0
178.456,-45.67,0.10,-46.28,0.10,0,0
178.467,-48.11,0.08,-48.72,0.08,0,0
178.478,-48.11,0.08,-48.11,0.08,0,0
178.489,-45.06,0.10,-45.67,0.10,0,0
178.500,-48.72,0.08,-48.72,0.08,0,0
178.511,-49.33,0.07,-49.33,0.07,0,0
178.522,-45.06,0.10,-45.67,0.10,0,0
178.533,-49.33,0.07,-49.33,0.07,0,0
178.544,-48.11,0.08,-48.11,0.08,0,0
178.555,-46.28,0.10,-46.28,0.10,0,0
178.566,-49.33,0.07,-49.33,0.07,0,0
