DATA CAPTURED Sat Oct 21 02:24:49 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
299364,292,293,293,290,0,0
299569,291,292,292,289,0,0
299772,294,295,295,292,0,0
299977,295,297,297,293,0,0
300181,293,294,294,291,0,0
300385,291,292,292,289,0,0
300590,294,295,295,292,0,0
300793,295,297,297,293,0,0
300998,294,295,294,291,0,0
301202,291,292,291,289,0,0
301407,293,294,294,291,0,0
301611,295,297,297,293,0,0
301815,294,295,295,292,0,0
302019,291,292,291,289,0,0
302224,292,293,293,290,0,0
302428,295,296,296,293,0,0
302632,295,296,296,292,0,0
302836,292,292,292,289,0,0
303041,291,292,292,289,0,0
303245,294,295,296,292,0,0
303449,295,296,296,293,0,0
303653,293,293,293,290,0,0
303857,291,292,291,289,0,0
304062,294,295,295,292,0,0
304266,295,297,297,293,0,0
DATA CAPTURED Sat Oct 21 02:24:59 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
308760,294,294,294,291,0,0
308964,291,292,292,289,0,0
309169,293,294,294,291,0,0
309372,295,297,297,293,0,0
309576,294,295,295,292,0,0
309781,292,292,292,290,0,0
309985,292,293,293,290,0,0
310190,295,296,296,293,0,0
310393,294,295,295,292,0,0
310598,291,292,292,289,0,0
310802,292,293,293,290,0,0
311007,294,296,296,292,0,0
311211,294,295,295,292,0,0
311415,292,292,292,289,0,0
311619,291,292,292,289,0,0
311824,293,294,294,291,0,0
312028,295,296,296,292,0,0
312231,293,294,293,290,0,0
312436,290,291,291,288,0,0
312640,293,294,294,291,0,0
312845,295,296,297,293,0,0
313049,293,294,294,291,0,0
313253,291,292,291,289,0,0
313457,293,294,294,291,0,0
313662,296,297,297,293,0,0
313866,295,296,296,292,0,0
314071,292,292,292,289,0,0
314274,293,294,294,291,0,0
314479,296,297,297,294,0,0
314683,295,296,296,293,0,0
314888,292,293,292,290,0,0
315091,292,293,293,290,0,0
315296,295,296,296,293,0,0
315500,296,297,297,293,0,0
315704,293,294,293,290,0,0
315909,292,292,292,289,0,0
316112,294,296,296,292,0,0
316317,296,297,297,294,0,0
316521,293,294,294,291,0,0
316726,291,292,291,289,0,0
316930,294,295,295,292,0,0
317134,296,297,297,294,0,0
317338,294,295,295,292,0,0
317543,291,292,292,289,0,0
317747,293,294,294,291,0,0
317952,296,297,297,293,0,0
318155,295,296,296,292,0,0
318360,291,292,292,289,0,0
318564,292,293,293,290,0,0
318768,295,296,296,293,0,0
318972,295,296,296,293,0,0
319176,292,292,292,289,0,0
319381,291,292,292,289,0,0
319585,294,296,296,292,0,0
319790,292,293,293,290,0,0
319993,292,293,292,289,0,0
320198,290,291,290,288,0,0
320402,293,294,294,291,0,0
320607,294,295,296,292,0,0
320811,292,293,293,290,0,0
321015,290,291,290,288,0,0
321219,292,293,293,290,0,0
321424,294,296,296,292,0,0
321628,293,294,294,291,0,0
321831,290,291,290,288,0,0
322036,291,293,293,290,0,0
322240,294,296,296,292,0,0
322445,294,295,295,291,0,0
322649,291,291,291,288,0,0
322853,291,292,292,289,0,0
323057,294,295,295,292,0,0
323262,294,295,295,292,0,0
323466,291,292,292,289,0,0
323671,290,291,291,288,0,0
323874,293,294,294,291,0,0
324079,294,296,296,292,0,0
324283,292,293,293,290,0,0
324487,290,291,291,288,0,0
324691,293,294,294,291,0,0
324895,295,296,296,292,0,0
325100,293,294,294,291,0,0
325304,290,291,291,288,0,0
325509,292,293,293,290,0,0
325712,294,296,296,292,0,0
325917,294,295,295,291,0,0
326121,290,291,291,288,0,0
326326,291,292,292,289,0,0
326530,294,295,295,292,0,0
326734,294,295,295,292,0,0
326938,291,291,291,288,0,0
327143,290,291,291,288,0,0
327347,293,295,295,291,0,0
327550,294,295,295,292,0,0
327755,292,292,292,289,0,0
327959,290,291,290,288,0,0
328164,293,294,294,291,0,0
328368,294,296,296,292,0,0
328572,292,293,293,290,0,0
328776,290,291,290,288,0,0
328981,292,293,293,290,0,0
329185,294,296,296,292,0,0
329390,293,294,294,291,0,0
329593,290,291,291,288,0,0
329798,291,292,292,289,0,0
330002,294,295,296,292,0,0
330207,294,295,295,292,0,0
330411,291,291,291,288,0,0
330614,291,292,291,289,0,0
330819,294,295,295,292,0,0
331023,294,296,295,292,0,0
331228,292,292,292,289,0,0
331431,290,291,291,288,0,0
331636,293,294,294,291,0,0
331840,294,296,296,292,0,0
332045,292,293,293,290,0,0
332249,290,291,291,288,0,0
332453,292,294,294,290,0,0
332657,294,296,296,292,0,0
332862,293,294,294,291,0,0
333066,290,291,291,288,0,0
333271,292,293,293,290,0,0
333474,294,296,296,292,0,0
333678,294,295,295,292,0,0
333883,291,291,291,288,0,0
334087,291,292,292,289,0,0
334291,294,295,295,292,0,0
334495,294,295,295,292,0,0
334700,292,292,292,289,0,0
334904,290,291,291,288,0,0
DATA CAPTURED Sat Oct 21 02:25:31 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
341031,291,292,292,289,0,0
341236,294,295,296,292,0,0
341440,294,295,295,292,0,0
341645,291,292,292,289,0,0
341849,290,291,291,288,0,0
342053,293,295,295,291,0,0
342257,295,296,296,292,0,0
342462,292,293,293,290,0,0
342666,290,291,291,288,0,0
342870,293,294,294,291,0,0
343074,295,296,296,292,0,0
343278,293,294,294,290,0,0
343483,290,291,291,288,0,0
343687,292,293,293,290,0,0
343891,295,296,296,292,0,0
344095,294,295,295,291,0,0
344300,291,291,291,288,0,0
344504,291,292,292,289,0,0
344709,294,296,296,292,0,0
344912,294,295,295,292,0,0
345117,291,292,291,289,0,0
345321,291,292,291,289,0,0
345526,294,295,295,292,0,0
345730,295,296,296,292,0,0
345933,292,293,292,289,0,0
346138,290,291,291,288,0,0
346342,293,294,294,291,0,0
346547,294,296,296,292,0,0
346750,292,293,293,290,0,0
346955,290,291,290,288,0,0
347159,292,293,293,290,0,0
347364,294,295,296,292,0,0
347568,293,294,294,291,0,0
347772,290,291,291,288,0,0
347976,292,293,293,290,0,0
348181,295,296,296,292,0,0
348385,294,295,295,292,0,0
348590,291,291,291,288,0,0
348793,291,292,292,289,0,0
348997,294,295,295,292,0,0
349202,294,295,295,292,0,0
349406,292,292,292,289,0,0
349611,291,291,291,288,0,0
349814,293,295,295,291,0,0
350019,295,296,296,292,0,0
DATA CAPTURED Sat Oct 21 02:25:48 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
357985,291,292,292,289,0,0
358190,290,291,291,288,0,0
358393,293,295,295,291,0,0
358597,294,296,296,292,0,0
358802,292,292,292,289,0,0
359006,290,291,290,288,0,0
359211,293,294,294,291,0,0
359414,294,296,296,292,0,0
359619,293,293,293,290,0,0
359823,290,291,290,288,0,0
360028,292,294,294,290,0,0
360231,295,296,296,293,0,0
360436,293,294,294,291,0,0
360640,291,291,291,288,0,0
360845,292,293,293,290,0,0
361049,295,296,296,293,0,0
361253,294,295,295,292,0,0
DATA CAPTURED Sat Oct 21 02:26:01 2017
Time (ms),P1(0-1024),P2(0-1024),P3(0-1024),P4(0-1024),T1,T2
371057,292,293,293,290,0,0
371261,295,296,296,293,0,0
371466,294,295,295,292,0,0
371670,291,292,291,289,0,0
371874,291,292,292,289,0,0
372078,294,296,296,292,0,0
372283,295,296,296,292,0,0
372487,292,293,292,289,0,0
372691,291,292,291,289,0,0
372895,294,295,295,292,0,0
373100,295,296,296,293,0,0
373304,293,293,293,290,0,0
373508,291,291,291,288,0,0
373712,293,294,294,291,0,0
373916,295,296,296,293,0,0
374121,293,294,294,291,0,0
374325,291,291,291,288,0,0
374530,292,293,294,291,0,0
374733,295,296,296,293,0,0
374938,294,295,294,291,0,0
375142,291,291,291,288,0,0
375347,292,293,293,290,0,0
375550,295,296,296,293,0,0
